Disease,Defect,Severity,SeverityName,RepairStratCategory,RepairStrat,RepairStratName,LifetimeMinYears,LifetimeMaxYears,LifetimeMean,RoadType
Cracking,Transverse cracking,3,High,Multiple strategies,me,Foundation replacement + Bay replacement,20,50,35,Concrete
Cracking,Longitudinal cracking,1,Low,Filling,cm,Inlaid crack repair,3,5,4,Concrete
Cracking,Longitudinal cracking,1,Low,Other,cp,Crack stitching,10,50,30,Concrete 
Cracking,Longitudinal cracking,2,Medium,Other,cp,Crack stitching,10,50,30,Concrete 
Cracking,Longitudinal cracking,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Cracking,Longitudinal cracking,3,High,Multiple strategies,mf,Foundation replacement + Full depth repair,15,20,17.5,Concrete
Cracking,Longitudinal cracking,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Cracking,Longitudinal cracking,3,High,Multiple strategies,me,Foundation replacement + Bay replacement,20,50,35,Concrete
Displacement,Stepping,2,Medium,Multiple strategies,mb,Under slab grouting + Slab lifting + Bump cutting,20,50,35,Concrete
Displacement,Stepping,2,Medium,Multiple strategies,mk,Drainage renewal + Bay replacement,20,50,35,Concrete
Displacement,Stepping,2,Medium,Multiple strategies,ml,Drainage renewal + Full depth repair,15,20,17.5,Concrete
Displacement,Stepping,3,High,Multiple strategies,mk,Drainage renewal + Bay replacement,20,50,35,Concrete
Displacement,Stepping,3,High,Multiple strategies,ml,Drainage renewal + Full depth repair,15,20,17.5,Concrete
Displacement,Stepping,3,High,Multiple strategies,mn,Drainage renewal + Foundation replacement + Bay replacement,20,50,35,Concrete
Displacement,Stepping,3,High,Multiple strategies,mo,Drainage renewal + Foundation replacement + Full depth repair,15,20,17.5,Concrete
Displacement,Slab rocking,2,Medium,Bay repair,cj,Under slab grouting,20,50,35,Concrete
Displacement,Slab rocking,2,Medium,Multiple strategies,mk,Drainage renewal + Bay replacement,20,50,35,Concrete
Displacement,Slab rocking,3,High,Multiple strategies,mk,Drainage renewal + Bay replacement,20,50,35,Concrete
Displacement,Slab rocking,3,High,Multiple strategies,mn,Drainage renewal + Foundation replacement + Bay replacement,20,50,35,Concrete
Displacement,Slab rocking,3,High,Multiple strategies,mo,Drainage renewal + Foundation replacement + Full depth repair,15,20,17.5,Concrete
Displacement,Compression failures,3,High,Filling,f,Full depth repair,15,20,17.5,Concrete
Displacement,Compression failures,3,High,Bay repair,cc,Bay replacement,30,50,40,Concrete
Displacement,Compression failures,3,High,Multiple strategies,mf,Foundation replacement + Full depth repair,15,20,17.5,Concrete
Displacement,Compression failures,3,High,Multiple strategies,me,Foundation replacement + Bay replacement,20,50,35,Concrete
